anio,conglome,vivienda,hogar,dpto_cod,dpto,dominio,dominio_nom,estrato,area,mieperho,gashog2d,linea,linpe,pobreza,pobre,pobre_ext,factor07,w_hog,w_per,nbi1,nbi2,nbi3,nbi4,nbi5,n_nbi,pobre_nbi
2023,005748,055,11,05,Ayacucho,5,Sierra Centro,5,urbano,1,6984.568359,396.777405,227.616226,3,0,0,226.975815,226.975815,226.975815,,,,,,,
2023,005748,069,11,05,Ayacucho,5,Sierra Centro,5,urbano,1,11834.420898,396.777405,227.616226,3,0,0,226.975815,226.975815,226.975815,,,,,,,
2023,005748,085,11,05,Ayacucho,5,Sierra Centro,5,urbano,2,7898.766602,396.777405,227.616226,2,1,0,226.975815,226.975815,453.951630,,,,,,,
2023,005748,100,11,05,Ayacucho,5,Sierra Centro,5,urbano,3,19195.855469,396.777405,227.616226,3,0,0,226.975815,226.975815,680.927429,,,,,,,
2023,005885,015,11,06,Cajamarca,7,Selva,3,urbano,3,18601.951172,404.903015,244.489227,3,0,0,939.023438,939.023438,2817.070312,,,,,,,
2023,005885,052,11,06,Cajamarca,7,Selva,3,urbano,4,24421.056641,404.903015,244.489227,3,0,0,939.023438,939.023438,3756.093750,,,,,,,
2023,005885,071,11,06,Cajamarca,7,Selva,3,urbano,3,43343.273438,404.903015,244.489227,3,0,0,939.023438,939.023438,2817.070312,,,,,,,
2023,005885,087,11,06,Cajamarca,7,Selva,3,urbano,1,18926.609375,404.903015,244.489227,3,0,0,939.023438,939.023438,939.023438,,,,,,,
2023,005885,161,11,06,Cajamarca,7,Selva,3,urbano,2,16169.710938,404.903015,244.489227,3,0,0,939.023438,939.023438,1878.046875,,,,,,,
2023,005944,027,11,06,Cajamarca,4,Sierra Norte,7,rural,4,16320.282227,325.265717,217.144974,3,0,0,310.854919,310.854919,1243.419678,,,,,,,
2023,005944,032,11,06,Cajamarca,4,Sierra Norte,7,rural,3,11305.648438,325.265717,217.144974,2,1,0,310.854919,310.854919,932.564758,,,,,,,
2023,005944,135,11,06,Cajamarca,4,Sierra Norte,7,rural,2,11321.918945,325.265717,217.144974,3,0,0,310.854919,310.854919,621.709839,,,,,,,
2023,005944,136,11,06,Cajamarca,4,Sierra Norte,7,rural,3,8520.636719,325.265717,217.144974,2,1,0,310.854919,310.854919,932.564758,,,,,,,
2023,005944,137,11,06,Cajamarca,4,Sierra Norte,7,rural,2,10779.456055,325.265717,217.144974,3,0,0,310.854919,310.854919,621.709839,,,,,,,
2023,005944,140,11,06,Cajamarca,4,Sierra Norte,7,rural,2,10185.379883,325.265717,217.144974,3,0,0,310.854919,310.854919,621.709839,,,,,,,
2023,006092,035,11,07,Callao,8,Lima Metropolitana,1,urbano,1,21342.337891,546.054321,293.982849,3,0,0,369.389221,369.389221,369.389221,,,,,,,
2023,006092,056,11,07,Callao,8,Lima Metropolitana,1,urbano,4,22657.787109,546.054321,293.982849,2,1,0,369.389221,369.389221,1477.556885,,,,,,,
2023,006092,078,11,07,Callao,8,Lima Metropolitana,1,urbano,3,22199.480469,546.054321,293.982849,3,0,0,369.389221,369.389221,1108.167725,,,,,,,
2023,006092,100,11,07,Callao,8,Lima Metropolitana,1,urbano,6,101071.640625,546.054321,293.982849,3,0,0,369.389221,369.389221,2216.335449,,,,,,,
2023,006092,123,11,07,Callao,8,Lima Metropolitana,1,urbano,7,39217.457031,546.054321,293.982849,2,1,0,369.389221,369.389221,2585.724609,,,,,,,
2023,006092,167,11,07,Callao,8,Lima Metropolitana,1,urbano,2,31423.613281,546.054321,293.982849,3,0,0,369.389221,369.389221,738.778442,,,,,,,
2023,006092,232,11,07,Callao,8,Lima Metropolitana,1,urbano,9,29008.662109,546.054321,293.982849,1,1,1,369.389221,369.389221,3324.502930,,,,,,,
2023,006193,011,11,08,Cusco,6,Sierra Sur,2,urbano,4,50584.078125,394.193970,227.616226,3,0,0,621.483276,621.483276,2485.933105,,,,,,,
2023,006193,021,11,08,Cusco,6,Sierra Sur,2,urbano,6,12639.794922,394.193970,227.616226,1,1,1,621.483276,621.483276,3728.899658,,,,,,,
2023,006193,032,11,08,Cusco,6,Sierra Sur,2,urbano,5,37789.035156,394.193970,227.616226,3,0,0,621.483276,621.483276,3107.416504,,,,,,,
2023,006193,043,11,08,Cusco,6,Sierra Sur,2,urbano,8,60113.242188,394.193970,227.616226,3,0,0,621.483276,621.483276,4971.866211,,,,,,,
2023,006193,053,11,08,Cusco,6,Sierra Sur,2,urbano,2,25232.744141,394.193970,227.616226,3,0,0,621.483276,621.483276,1242.966553,,,,,,,
2023,006193,064,11,08,Cusco,6,Sierra Sur,2,urbano,4,31841.419922,394.193970,227.616226,3,0,0,621.483276,621.483276,2485.933105,,,,,,,
2023,006376,011,11,09,Huancavelica,5,Sierra Centro,5,urbano,3,14069.991211,388.460327,227.616226,3,0,0,288.782593,288.782593,866.347778,,,,,,,
2023,006376,020,11,09,Huancavelica,5,Sierra Centro,5,urbano,1,5713.458008,388.460327,227.616226,3,0,0,288.782593,288.782593,288.782593,,,,,,,
2023,006376,064,11,09,Huancavelica,5,Sierra Centro,5,urbano,1,4315.306152,388.460327,227.616226,2,1,0,288.782593,288.782593,288.782593,,,,,,,
2023,006376,075,11,09,Huancavelica,5,Sierra Centro,5,urbano,1,5215.679199,388.460327,227.616226,3,0,0,288.782593,288.782593,288.782593,,,,,,,
2023,006571,069,11,10,Huánuco,5,Sierra Centro,7,rural,2,6994.195801,337.048889,217.144974,2,1,0,234.485474,234.485474,468.970947,,,,,,,
